ACTION_TAKEN,CALL_DATE,CALL_FROM,CALL_TIME,Category,Message search terms,Sub Category,Sum of Incidents,Sum of Vehicle Delay Time,Measure Param,DIRECTION,DISPATCHER_ID,DIVISION,GEOGRAPHIC_LOCATION_MODIFIED,LINE (group) 1,LINE (group),LINE,LINE_DELAY,LINE_DELAY_TIME_END,LINE_DELAY_TIME_START,Location,LOCATION_ORIGINAL,Incident Location,Message,NO_RETURN,Number of Records,OPERATOR_ID,RUN,RUN_LINE,SENT_TO,STREET_A,STREET_B,STREET_C,STREET_D,Subcategory,Security Incident Type,TAG_ID,TIMEOUT,Date,TIME_OF_INCIDENT,VEHICLE,VEHICLE_DELAY_TIME_END,VEHICLE_DELAY_TIME_START,VEHICLE_NEW,VEHICLE_NEW_NUM_1,VEHICLE_NEW_NUM_2,VEH_DELAY,VIA,Veh_Delay_Time (copy),Vehicle Delay Minutes per Incident
"5T61 RESPONDED, SFPD 3B12D , MEDIC 74 TRANSPORT TO SOBERING CENTER, 
CAD 200273070 - EOR NO RETURN ",1/27/2020,4C22,18:43,Passenger Incident,0,Intoxicated Passenger,1,65,1,    OB,86,GR,EMBARCADERO STATION,M,M,M,00:00 - 00:00,,,EMBARCADERO ,,EMBARCADERO ,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,2962,80,80 / M,3RD / 18TH STREET LOOP ,,,,,Intoxicated Passenger,Other,1677508,0:00,1/27/2020,1/27/2020 18:43,1457,1/27/2020 19:48,1/27/2020 18:43,,,,18:43 - 19:48,R,65,65
MEDIC 52  CAD #  3868 NOTIFIED AND RESPONDED / PASSENGER WAS TRANSPORTED  AROUND  2337HRS TO UNKNOWN HOSPITAL . OP WILL COACH TRADE WITH 453/06/5715  AROUND  0010HRS / OP WILL FILL UP INCIDENT REPORT  FOR PASSENGER TRANSPORTED ,1/25/2020,OPERATOR,23:16,Passenger Incident,0,Intoxicated Passenger,1,54,1,    IB,43,PO,9TH ##### JUDAH,6,6,6,00:00 - 00:00,,,9TH AVE  & JUDAH,,9TH AVE  & JUDAH,PASSENGER INCIDENT - INTOXICATED PASSENGER REQUSTED FOR MEDIC AND ALSO HE VOMITED INSIDE THE COACH ,N,1,5304,461,461 / 6,,9TH,JUDAH,%9TH%,%JUDAH%,Intoxicated Passenger,Other,1677403,0:00,1/25/2020,1/25/2020 23:16,5706,1/27/2020 0:10,1/26/2020 23:16,,,,23:16 - 00:10,R,54,54
"SFPD CAD# 52640, UNIT# 3113D, MOBILE 148  RESPONDED AND CLEARED.
NOTIFIED: VIDEO, S/SAFETY, CLAIMS 49 
PASSENGER GOT REMOVED FROM COACH.
COACH BACK IN SERVICE NO 799",1/25/2020,OPERATOR,17:00,Passenger Incident,0,Intoxicated Passenger,1,81,1,    OB,96,WO,SUNSET ##### TARAVAL,29,29,29,00:00 - 00:00,,,SUNSET & TARAVAL,,SUNSET & TARAVAL,"PASSENGER INCIDENT - INTOXICATED PASSENGER , PASSENGER TRANSPORTED TO UC HOSPITAL ",N,1,6199,191,191 / 29,,SUNSET,TARAVAL,%SUNSET%,%TARAVAL%,Intoxicated Passenger,Other,1677396,0:00,1/25/2020,1/25/2020 17:00,8819,1/25/2020 18:21,1/25/2020 17:00,,,,17:00 - 18:21,R,81,81
"1C-17B GAMEZ NOTIFIED TMC 6 REQUESTING SFPD. RESPONDED AND CLEARED AT  1820 HRS.
740 NOTIFIED CAD #200242549. SFPD  UNIT  #3B12D RESPONDED AND ESCORTED PASSENGER OFF COACH AT  1820 HRS. NO ARRESTS.
COACH BACK IN SERVICE NO INJURY NO 799
VIDEO PULL REQUEST SENT TO DIVISION SUPERINTENDENT.

",1/24/2020,OPERATOR,16:02,Passenger Incident,0,Intoxicated Passenger,1,138,1,    OB,6,FL,MISSION ##### MAIN,14R,Other,14R,00:00 - 00:00,,,MISSION & MAIN,,MISSION & MAIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,6321,847,847 / 14R,,MISSION,MAIN,%MISSION%,%MAIN%,Intoxicated Passenger,Other,1677297,0:00,1/24/2020,1/24/2020 16:02,6618,1/24/2020 18:20,1/24/2020 16:02,,,,16:02 - 18:20,R,138,138
"5T-64/PITCHER RESPONDED AND CLEARED. NO DELAY IN SERVICE, NO 799.",1/22/2020,OPERATOR,19:27,Passenger Incident,0,Intoxicated Passenger,1,,1,    OB,86,GR,JUDAH ##### 48TH,N,N,N,00:00 - 00:00,,,JUDAH & 48TH,,JUDAH & 48TH,PASSENGER INCIDENT - INTOXICATED PASSENGER  REFUSING TO EXIT,N,1,1669,122,122 / N,,JUDAH,48TH,%JUDAH%,%48TH%,Intoxicated Passenger,Other,1677153,0:00,1/22/2020,1/22/2020 19:27,1539-1487,,,,,,00:00 - 00:00,R,,
"5T83 JONES RESPONDED AND CLEARED. EMS #185, MEDIC #74 RESPONDED AND TRANSPORTED TO SETON MEDICAL. COACH RESUMED SERVICE. VIDEO, S/S*. NO 799.",1/20/2020,OPERATOR,3:45,Passenger Incident,0,Intoxicated Passenger,1,19,1,    IB,11,PO,MISSION ##### SAN JOSE,14,14,14,00:00 - 00:00,,,MISSION & SAN JOSE,,MISSION & SAN JOSE,PASSENGER INCIDENT - INTOXICATED PASSENGER  UNRESPONSIVE,N,1,5958,476,476 / 14,,MISSION,SAN JOSE,,,Intoxicated Passenger,Other,1676861,0:00,1/20/2020,1/20/2020 3:45,5737,1/20/2020 4:11,1/20/2020 3:52,,,,03:52 - 04:11,R,19,19
"5T-63/FISHER RESPONDED AND CLEARED. BACK IN SERVICE, NO 799.
SFPD* CAD# 200170369. NO RESPONSE. NO 799.",1/17/2020,OPERATOR,5:59,Passenger Incident,0,Intoxicated Passenger,1,20,1,    IB,54,GR,SUNNYDALE ##### BAY SHORE,KT,KT,KT,00:00 - 00:00,,,SUNNYDALE  & BAYSHORE,,SUNNYDALE  & BAYSHORE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2022,17,17 / KT,,SUNNYDALE,BAY SHORE,%SUNNYDALE%,%BAY%SHORE%,Intoxicated Passenger,Other,1676621,0:00,1/17/2020,1/17/2020 5:59,1466-1514,1/17/2020 6:31,1/17/2020 6:11,,,,06:11 - 06:31,R,20,20
"5T-63/FISHER RESPONDED AND CLEARED. BACK IN SERVICE, NO 799.
SFPD* CAD# 200170369. CLEARED PRIOR TO ARRIVAL.",1/17/2020,OPERATOR,5:59,Passenger Incident,0,Intoxicated Passenger,1,20,1,    IB,54,GR,SUNNYDALE ##### BAY SHORE,KT,KT,KT,00:00 - 00:00,,,SUNNYDALE  & BAYSHORE,,SUNNYDALE  & BAYSHORE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2022,17,17 / KT,,SUNNYDALE,BAY SHORE,%SUNNYDALE%,%BAY%SHORE%,Intoxicated Passenger,Other,1676622,0:00,1/17/2020,1/17/2020 5:59,1466-1514,1/17/2020 6:31,1/17/2020 6:11,,,,06:11 - 06:31,R,20,20
"740 NOTIFIED CAD 200-162-968. PD UNIT 268 RESPONDED AND CLEARED
VIDEO NOTIFIED
BACK IN SERVICE 1820HRS",1/16/2020,OPERATOR,17:56,Passenger Incident,0,Intoxicated Passenger,1,1344,1,    IB,19,IC,CITY COLLEGE,8,8,8,00:00 - 00:00,,,CITY COLLEGE,,CITY COLLEGE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,6277,863,863 / 8,,,,,,Intoxicated Passenger,Other,1676602,0:00,1/16/2020,1/16/2020 17:56,6537,1/17/2020 16:20,1/16/2020 17:56,,,,17:56 - 16:20,R,1344,1344
"INSPECTOR 5T61A YEE RESPONDED AND CLEARED. CAD #200161139 ENGINE 35, AND MEDIC 65 RESPONDED AND PASSENGER WALKED AWAY. 5M12, 6A50, S/S AND VIDEO ALL NOTIFIED. NO 799.",1/16/2020,OPERATOR,12:04,Passenger Incident,0,Intoxicated Passenger,1,7,1,    OB,37,FL,MAIN ##### MISSION,14R,Other,14R,00:00 - 00:00,,,MAIN & MISSION,,MAIN & MISSION,PASSENGER INCIDENT - INTOXICATED PASSENGER  MALE PASSENGER SLEEPING WITH NEEDLE,N,1,6021,449,449 / 14R,,MAIN,MISSION,%MAIN%,%MISSION%,Intoxicated Passenger,Other,1676543,0:00,1/16/2020,1/16/2020 12:04,6688,1/16/2020 12:17,1/16/2020 12:10,,,,12:10 - 12:17,R,7,7
"INSPECTOR 5T66B SKINNER NOTIFIED  AT 1853  HRS. RESPONDED AND CLEARED AT 1930  HRS. PASSENGER REQUESTED MEDICS.  741 NOTIFIED CAD#200163144. SFFD 200 AND ENGINE 53 RESPONDED AND TRANSPORTED PASSENGER TO UNKNOWN LOCATION. OPERATOR SENT IN DUE TO END OF RUN. NO 799
5M34,VIDEO*,S/SAFETY*, CLAIMS 6A49* ALL NOTIFIED.",1/16/2020,OPERATOR,18:42,Passenger Incident,0,Intoxicated Passenger,1,48,1,    IB,23,WO,MASONIC ##### HAIGHT,37,37,37,00:00 - 00:00,,,MASONIC & HAIGHT,,MASONIC & HAIGHT,PASSENGER INCIDENT - INTOXICATED PASSENGER  RENDERING AIDE,Y,1,5837,213,213 / 37,WOODS,MASONIC,HAIGHT,%MASONIC%,%HAIGHT%,Intoxicated Passenger,Other,1676609,0:00,1/16/2020,1/16/2020 18:42,8528,1/16/2020 19:30,1/16/2020 18:42,,,,18:42 - 19:30,R,48,48
SEE INTERVIEW TAG # 1676383,1/15/2020,OPERATOR,18:00,Passenger Incident,0,Intoxicated Passenger,1,,1,    IB,96,IC,SANTOS ##### BROOKDALE,8,8,8,00:00 - 00:00,,,SANTOS & BROOKDALE,,SANTOS & BROOKDALE,"PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASSENGER FELL, GOT UP, AND LEFT COACH ",N,1,6283,299,299 / 8,,SANTOS,BROOKDALE,%SANTOS%,%BROOKDALE%,Intoxicated Passenger,Other,1676381,0:00,1/15/2020,1/15/2020 18:00,6500,,,,,,00:00 - 00:00,R,,
"5T60B VELACRUZ INTERVIEWED OPERATOR AT INBOUND TERMINAL AT 1912 AND CLEARED OPERATOR WITH ORDERS AT 1924HRS.
NOTIFIED: VIDEO, 6A49 CLAIMS, SYSTEM SAFETY AND 5M18 KINDSTEDT
NO 799",1/15/2020,OPERATOR,18:00,Passenger Incident,0,Intoxicated Passenger,1,12,1,    IB,96,IC,KEARNY ##### NORTH POINT,8,8,8,00:00 - 00:00,,,KEARNY & NORTH POINT ,,KEARNY & NORTH POINT ,"PASSENGER INCIDENT - INTOXICATED PASSENGER  INTOXICATED PASSENGER FELL, GOT UP, AND LEFT COACH SEE TAG# 1676381",N,1,6283,299,299 / 8,,KEARNY,NORTH POINT,%KEARNY%,%NORTH%POINT%,Intoxicated Passenger,Other,1676383,0:00,1/15/2020,1/15/2020 18:00,6500,1/15/2020 19:24,1/15/2020 19:12,,,,19:12 - 19:24,R,12,12
"OPERATOR CALLED TMC. TMC DISPATCHED 5T67A COU. AT THE SAME TIME SFPD WAS CALLED. WHILE RESOURCES WERE BEING DISPATCHED, OPERATOR 1131 SAID THE SITUATION WAS CLEARED.  RESOURCES CANCELED.  AT 1231HRS TMC RECEIVED A CALL FROM 311 S/R 11943511. SOMEBODY FROM THE COACH MADE A COMPLAINT THAT THE OPERATOR JUST KICKED EVERYONE OFF WITH NO EXPLAINATION. VIDEO WAS PULLED. OPERATOR WAS INSTRUCTED TO FILL OUT PROPER PAPERWORK AT THE END OF HER SHIFT.",1/14/2020,OPERATOR,12:09,Passenger Incident,0,Intoxicated Passenger,1,10,1,    OB,96,WO,LINCOLN##### 9TH,7,7,7,00:00 - 00:00,,,LINCOLN WAY & 9TH AVE ,,LINCOLN WAY & 9TH AVE ,PASSENGER INCIDENT - INTOXICATED PASSENGER  PERSON ON COACH DRINKING AND SMOKING. ,N,1,1131,154,154 / 7,,LINCOLN,9TH,%LINCOLN%,%9TH%,Intoxicated Passenger,Other,1676287,0:00,1/14/2020,1/14/2020 12:09,8877,1/14/2020 12:19,1/14/2020 12:09,,,,12:09 - 12:19,R,10,10
